condition,distance,structure,path,raw_probability,unattested_ngrams,dependency,n_gram,bootstrap_sample
RC-Pcomp,Long,noIsland,"['start', 'COMP_nominal', 'ADJUNCT', 'OBJ', 'end']",1.560190151606465e-09,[],RC,Bigram,2
RC-Pcomp,Long,Island,"['start', 'ADJUNCT_rel', 'ADJUNCT', 'OBJ', 'end']",1.1047158193064259e-13,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'ADJUNCT')]",RC,Bigram,2
Subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Subject,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.398084622983553e-08,[],RC,Bigram,3
Subject,Long,Island,"['start', 'COMP_nominal', 'SUBJ', 'ADJUNCT', 'OBJ', 'end']",8.9194913978689e-15,"[('SUBJ', 'ADJUNCT')]",RC,Bigram,3
CNP,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
CNP,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
CNP,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.0624108456888616e-07,[],RC,Bigram,3
CNP,Long,Island,"['start', 'OBJ', 'COMP_nominal', 'OBJ', 'end']",5.1732697863809797e-11,"[('OBJ', 'COMP_nominal')]",RC,Bigram,3
EQ,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
EQ,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.398084622983553e-08,[],RC,Bigram,3
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",1.0878641150263288e-08,[],RC,Bigram,3
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012981656161645932,[],RC,Bigram,3
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.012981656161645932,[],RC,Bigram,3
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.0624108456888616e-07,[],RC,Bigram,3
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",1.7446724842392113e-10,"[('COMP_wh-int', 'OBJ')]",RC,Bigram,3
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Whether-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.398084622983553e-08,[],RC,Bigram,3
Whether-subject,Long,Island,"['start', 'COMP_pol-int', 'SUBJ', 'end']",4.127397726387155e-11,"[('COMP_pol-int', 'SUBJ')]",RC,Bigram,3
Whether-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012981656161645932,[],RC,Bigram,3
Whether-object,Short,Island,"['start', 'OBJ', 'end']",0.012981656161645932,[],RC,Bigram,3
Whether-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.0624108456888616e-07,[],RC,Bigram,3
Whether-object,Long,Island,"['start', 'COMP_pol-int', 'OBJ', 'end']",1.4893545597164e-10,[],RC,Bigram,3
Adjunct,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Adjunct,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
Adjunct,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.0624108456888616e-07,[],RC,Bigram,3
Adjunct,Long,Island,"['start', 'ADJUNCT_adv', 'OBJ', 'end']",4.2552987420468575e-12,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram,3
RC-predlink,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
RC-predlink,Short,Island,"['start', 'PREDLINK', 'end']",0.0001965175296846245,[],RC,Bigram,3
RC-predlink,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.0624108456888616e-07,[],RC,Bigram,3
RC-predlink,Long,Island,"['start', 'ADJUNCT_rel', 'OBJ', 'end']",4.2552987420468575e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram,3
RC-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
RC-subject,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
RC-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.398084622983553e-08,[],RC,Bigram,3
RC-subject,Long,Island,"['start', 'ADJUNCT_rel', 'SUBJ', 'end']",5.896282466267365e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram,3
RC-Pcomp,Short,noIsland,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
RC-Pcomp,Short,Island,"['start', 'SUBJ', 'end']",0.037465771274611426,[],RC,Bigram,3
RC-Pcomp,Long,noIsland,"['start', 'COMP_nominal', 'ADJUNCT', 'OBJ', 'end']",1.0975417947820592e-09,[],RC,Bigram,3
RC-Pcomp,Long,Island,"['start', 'ADJUNCT_rel', 'ADJUNCT', 'OBJ', 'end']",1.0820682192468297e-13,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'ADJUNCT')]",RC,Bigram,3
Subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Subject,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.520319843474644e-08,[],RC,Bigram,4
Subject,Long,Island,"['start', 'COMP_nominal', 'SUBJ', 'ADJUNCT', 'OBJ', 'end']",9.1233484379463e-15,"[('SUBJ', 'ADJUNCT')]",RC,Bigram,4
CNP,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
CNP,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
CNP,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.2418989140725817e-07,[],RC,Bigram,4
CNP,Long,Island,"['start', 'OBJ', 'COMP_nominal', 'OBJ', 'end']",6.643342229238658e-11,"[('OBJ', 'COMP_nominal')]",RC,Bigram,4
EQ,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
EQ,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.520319843474644e-08,[],RC,Bigram,4
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",1.136237519097233e-08,[],RC,Bigram,4
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.013016126069491485,[],RC,Bigram,4
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.013016126069491485,[],RC,Bigram,4
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.2418989140725817e-07,[],RC,Bigram,4
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",5.732697520344754e-10,[],RC,Bigram,4
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Whether-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.520319843474644e-08,[],RC,Bigram,4
Whether-subject,Long,Island,"['start', 'COMP_pol-int', 'SUBJ', 'end']",1.2331259897179272e-10,[],RC,Bigram,4
Whether-object,Short,noIsland,"['start', 'OBJ', 'end']",0.013016126069491485,[],RC,Bigram,4
Whether-object,Short,Island,"['start', 'OBJ', 'end']",0.013016126069491485,[],RC,Bigram,4
Whether-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.2418989140725817e-07,[],RC,Bigram,4
Whether-object,Long,Island,"['start', 'COMP_pol-int', 'OBJ', 'end']",2.972509825363946e-11,"[('COMP_pol-int', 'OBJ')]",RC,Bigram,4
Adjunct,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Adjunct,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
Adjunct,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.2418989140725817e-07,[],RC,Bigram,4
Adjunct,Long,Island,"['start', 'ADJUNCT_adv', 'OBJ', 'end']",4.2464426076627796e-12,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram,4
RC-predlink,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
RC-predlink,Short,Island,"['start', 'PREDLINK', 'end']",0.00018905378301592408,[],RC,Bigram,4
RC-predlink,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.2418989140725817e-07,[],RC,Bigram,4
RC-predlink,Long,Island,"['start', 'ADJUNCT_rel', 'OBJ', 'end']",4.2464426076627796e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram,4
RC-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
RC-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
RC-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",9.520319843474644e-08,[],RC,Bigram,4
RC-subject,Long,Island,"['start', 'ADJUNCT_rel', 'SUBJ', 'end']",5.872028522466319e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram,4
RC-Pcomp,Short,noIsland,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
RC-Pcomp,Short,Island,"['start', 'SUBJ', 'end']",0.03717792411021472,[],RC,Bigram,4
RC-Pcomp,Long,noIsland,"['start', 'COMP_nominal', 'ADJUNCT', 'OBJ', 'end']",1.6510294112932658e-09,[],RC,Bigram,4
RC-Pcomp,Long,Island,"['start', 'ADJUNCT_rel', 'ADJUNCT', 'OBJ', 'end']",1.0885668960857557e-13,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'ADJUNCT')]",RC,Bigram,4
Subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
